,TIME,POWER1模块母线电流遥测,+Y太阳阵电流遥测2(POWER1模块),POWER2模块母线电流遥测,+Y太阳阵电流遥测3(POWER2模块),POWER3模块母线电流遥测,-Y太阳阵电流遥测3(POWER2模块),CDM1模块母线电流遥测,-Y太阳阵电流遥测1(POWER3模块),CDM2模块母线电流遥测,-Y太阳阵电流遥测2(POWER3模块),BCI模块母线电流遥测,+Y太阳阵电流遥测1(POWER1模块),+X隔板温度,-Y板温度1,-Y板温度2,-Y板温度3,锂离子蓄电池A模块1温度,-Y太阳翼外板温度,-Y太阳翼中板温度,-Y太阳翼内板温度,太阳翼SMA拉断器（-Y）1温度,太阳翼SMA拉断器（-Y）2温度,太阳翼SMA拉断器（-Y）3温度,太阳翼SMA拉断器（-Y）4温度,锂离子蓄电池A模块2温度,太阳翼SMA拉断器（-Y）5温度,太阳翼SMA拉断器（-Y）6温度,锂离子蓄电池B模块1温度,BCI模块温度遥测,POWER1模块温度遥测,POWER2模块温度遥测,CDM1模块温度遥测,POWER3模块温度遥测,CDM2模块温度遥测,锂离子蓄电池B模块2温度,锂离子蓄电池C模块1温度,锂离子蓄电池C模块2温度,电源调节与配电单元温度,母线电压遥测,TMTC备份+12V电压遥测,TMTC备份+5V电压遥测,TMTC主份+12V电压遥测,TMTC主份+5V电压遥测,过充保护阈值回读,5V参考电压遥测,BCM电压遥测,蓄电池电压遥测,充电电压挡位遥测,第1路蓄电池远端电压采集,第2路蓄电池远端电压采集,充电电流挡位遥测,68W热控支路3通断状态,-Y板加热器1通断状态,+Y太阳翼6号压紧点主份拉断器通断状态,-Y太阳翼2号压紧点主份拉断器通断状态,-Y太阳翼5号压紧点主份拉断器通断状态,+Y板加热器3通断状态,+Y板加热器2通断状态,68W热控支路7通断状态,蓄电池加热器1通断状态,蓄电池加热器2通断状态,68W热控支路4通断状态,S3R22保护状态,S319保护状态,S3R16保护状态,S313保护状态,S3R10保护状态,S3R7保护状态,S3R4保护状态,S3R1保护状态,SATM(-Y)备份加热器通断状态,安全开关J通断状态,安全开关I通断状态,-Y太阳翼3号压紧点备份拉断器通断状态,安全开关G通断状态,-Y太阳翼4号压紧点备份拉断器通断状态,安全开关F通断状态,+Y太阳翼3号压紧点备份拉断器通断状态,+Y太阳翼2号压紧点备份拉断器通断状态,+Y太阳翼5号压紧点备份拉断器通断状态,-Y太阳翼6号压紧点备份拉断器通断状态,安全开关H通断状态,-Y太阳翼1号压紧点备份拉断器通断状态,+Y太阳翼4号压紧点备份拉断器通断状态,+Y太阳翼1号压紧点备份拉断器通断状态,68W热控支路10通断状态,u电池加热器3通断状态,+Y太阳翼6号压紧点备份拉断器通断状态,-Y太阳翼2号压紧点备份拉断器通断状态,-Y太阳翼5号压紧点备份拉断器通断状态,+Y板加热器4通断状态,-Y板加热器5通断状态,68W热控支路14通断状态,-Y板加热器3通断状态,+Y板加热器6通断状态,68W热控支路11通断状态,S3R24保护状态,S3R21保护状态,S3R18保护状态,S3R15保护状态,S3R12保护状态,S3R9保护状态,S3R6保护状态,S3R3保护状态,fault,label,No.
2,2022-12-21 21:14:38.924,4.558,19.649,6.231,20.032,0.774,19.593,1.894,19.578,0.064,19.235,9.794,19.649,13.608,5.12,5.813,0.586,19.091,82.826,59.923,61.677,-4.113,-6.179,-2.291,-5.454,22.134,-17.848,-10.888,20.642,10.054,11.889,13.073,12.032,12.828,9.442,22.826,20.558,23.152,10.444,36.441,12.058,5.039,12.013,5.038,205,5.007,1.119,34.643,7.234,34.805,34.793,5.398,1,1,1,1,1,1,1,1,,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0
3,2022-12-21 21:14:43.926,4.558,19.649,6.231,20.032,0.774,19.593,1.894,19.578,0.064,19.235,9.794,19.649,13.608,5.12,5.813,0.586,19.091,82.826,59.923,61.677,-4.113,-6.179,-2.291,-5.454,22.134,-17.848,-10.888,20.642,10.054,11.889,13.073,12.032,12.828,9.442,22.826,20.558,23.152,10.444,36.441,12.058,5.039,12.013,5.038,205,5.007,1.119,34.643,7.234,34.805,34.793,5.398,1,1,1,1,1,1,1,1,,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0
4,2022-12-21 21:15:50.429,4.771,19.733,6.11,19.55,0.774,19.616,1.884,19.563,0.064,19.189,9.887,19.642,13.642,5.361,6.073,0.862,19.187,84.207,61.445,63.926,-3.082,-5.301,-1.351,-4.829,22.21,-17.282,-10.482,20.718,10.197,11.91,13.032,12.175,12.93,9.626,22.859,20.612,23.229,10.558,36.441,12.055,5.035,12.013,5.038,205,5.006,1.119,34.472,7.237,34.68,34.669,5.395,1,1,1,1,1,1,1,1,,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0
5,2022-12-21 21:15:54.928,4.771,19.733,6.11,19.55,0.774,19.616,1.884,19.563,0.064,19.189,9.887,19.642,13.642,5.361,6.073,0.862,19.187,84.207,61.445,63.926,-3.082,-5.301,-1.351,-4.829,22.21,-17.282,-10.482,20.718,10.197,11.91,13.032,12.175,12.93,9.626,22.859,20.612,23.229,10.558,36.441,12.055,5.035,12.013,5.038,205,5.006,1.119,34.472,7.237,34.68,34.669,5.395,1,1,1,1,1,1,1,1,,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0
6,2022-12-21 21:17:01.432,4.771,19.564,6.034,19.527,0.759,19.639,1.894,19.547,0.064,19.174,9.98,19.619,13.669,5.589,6.26,1.142,19.237,85.27,62.751,65.525,-2.189,-4.565,-0.639,-4.334,22.263,-16.826,-10.293,20.769,10.279,12.052,12.889,12.297,13.073,9.769,22.934,20.663,23.261,10.664,36.43,12.055,5.033,12.013,5.035,205,5.007,1.113,34.472,7.234,34.648,34.648,5.395,1,1,1,1,1,1,1,1,,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0
7,2022-12-21 21:17:06.432,4.771,19.564,6.034,19.527,0.759,19.639,1.894,19.547,0.064,19.174,9.98,19.619,13.669,5.589,6.26,1.142,19.237,85.27,62.751,65.525,-2.189,-4.565,-0.639,-4.334,22.263,-16.826,-10.293,20.769,10.279,12.052,12.889,12.297,13.073,9.769,22.934,20.663,23.261,10.664,36.43,12.055,5.033,12.013,5.035,205,5.007,1.113,34.472,7.234,34.648,34.648,5.395,1,1,1,1,1,1,1,1,,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0
8,2022-12-21 21:18:22.435,3.892,19.549,6.004,19.489,0.774,19.654,1.884,19.555,0.064,19.166,9.934,19.619,13.689,5.813,6.463,1.354,19.258,86.056,63.881,66.831,-1.103,-3.837,0.115,-3.839,22.285,-16.213,-10.031,20.812,10.401,12.215,12.869,12.44,13.053,9.932,22.956,20.727,23.326,10.744,36.43,12.055,5.036,12.013,5.036,205,5.009,1.119,34.472,7.234,34.638,34.617,5.398,1,1,1,1,1,1,1,1,,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0
9,2022-12-21 21:18:26.935,3.892,19.549,6.004,19.489,0.774,19.654,1.884,19.555,0.064,19.166,9.934,19.619,13.689,5.813,6.463,1.354,19.258,86.056,63.881,66.831,-1.103,-3.837,0.115,-3.839,22.285,-16.213,-10.031,20.812,10.401,12.215,12.869,12.44,13.053,9.932,22.956,20.727,23.326,10.744,36.43,12.055,5.036,12.013,5.036,205,5.009,1.119,34.472,7.234,34.638,34.617,5.398,1,1,1,1,1,1,1,1,,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0
10,2022-12-21 21:19:33.439,4.134,19.541,7.594,19.481,0.774,19.624,1.894,19.525,0.064,19.151,12.08,19.619,13.762,6.053,6.681,1.69,19.333,86.554,65.76,67.822,0.309,-3.007,0.91,-3.184,22.318,-15.45,-9.57,20.845,10.523,12.358,12.93,12.603,12.889,10.054,23.011,20.76,23.36,10.878,36.463,12.055,5.036,12.013,5.035,205,5.009,1.119,34.423,7.237,34.596,34.575,5.402,1,1,1,1,1,1,1,1,,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0
11,2022-12-21 21:19:38.439,4.134,19.541,7.594,19.481,0.774,19.624,1.894,19.525,0.064,19.151,12.08,19.619,13.762,6.053,6.681,1.69,19.333,86.554,65.76,67.822,0.309,-3.007,0.91,-3.184,22.318,-15.45,-9.57,20.845,10.523,12.358,12.93,12.603,12.889,10.054,23.011,20.76,23.36,10.878,36.463,12.055,5.036,12.013,5.035,205,5.009,1.119,34.423,7.237,34.596,34.575,5.402,1,1,1,1,1,1,1,1,,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0
