,均值,标准差
POWER1模块母线电流遥测,3.9068587,0.53895843
+Y太阳阵电流遥测2(POWER1模块),13.305081,9.103282
POWER2模块母线电流遥测,7.5368586,2.3981528
+Y太阳阵电流遥测3(POWER2模块),13.452256,9.02832
POWER3模块母线电流遥测,0.7644431,0.06268884
-Y太阳阵电流遥测3(POWER2模块),13.513475,9.000116
CDM1模块母线电流遥测,1.3762773,1.02255
-Y太阳阵电流遥测1(POWER3模块),13.589981,8.977286
CDM2模块母线电流遥测,0.3393996,0.5970412
-Y太阳阵电流遥测2(POWER3模块),13.135576,8.866367
BCI模块母线电流遥测,16.145226,5.6077595
+Y太阳阵电流遥测1(POWER1模块),13.471541,9.045149
+X隔板温度,15.310063,1.5027446
-Y板温度1,8.134647,4.7341375
-Y板温度2,8.461891,5.0033474
-Y板温度3,5.4130816,3.8382375
锂离子蓄电池A模块1温度,18.879704,1.7772228
-Y太阳翼外板温度,37.48413,60.348434
-Y太阳翼中板温度,23.996237,55.68348
-Y太阳翼内板温度,22.337612,52.56479
太阳翼SMA拉断器（-Y）1温度,9.491751,12.286567
太阳翼SMA拉断器（-Y）2温度,5.844025,10.689709
太阳翼SMA拉断器（-Y）3温度,10.387996,11.222919
太阳翼SMA拉断器（-Y）4温度,5.7324376,9.920791
锂离子蓄电池A模块2温度,21.704004,1.837828
太阳翼SMA拉断器（-Y）5温度,-0.98129773,13.044292
太阳翼SMA拉断器（-Y）6温度,0.80665964,9.027266
锂离子蓄电池B模块1温度,20.374956,1.7695155
BCI模块温度遥测,11.985256,4.699782
POWER1模块温度遥测,13.338857,5.377354
POWER2模块温度遥测,14.073963,5.292991
CDM1模块温度遥测,13.522101,5.085884
POWER3模块温度遥测,13.468006,5.1929245
CDM2模块温度遥测,11.499503,4.786715
锂离子蓄电池B模块2温度,22.327127,1.8511441
锂离子蓄电池C模块1温度,20.263689,1.8214806
锂离子蓄电池C模块2温度,22.748854,1.8457134
电源调节与配电单元温度,12.475694,4.7292953
母线电压遥测,35.916912,0.854927
TMTC备份+12V电压遥测,12.05518,0.08593347
TMTC备份+5V电压遥测,5.034701,0.036089607
TMTC主份+12V电压遥测,12.014759,0.0017595136
TMTC主份+5V电压遥测,5.0439496,0.036129214
过充保护阈值回读,205.0,1.0
5V参考电压遥测,5.0078487,0.0011599466
BCM电压遥测,8.404064,4.8923907
蓄电池电压遥测,35.909256,0.7562928
充电电压挡位遥测,7.1672587,0.51727974
第1路蓄电池远端电压采集,35.920475,0.6845083
第2路蓄电池远端电压采集,35.905327,0.6828099
充电电流挡位遥测,5.3978353,0.03852504
